,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15
23S_20_Student_Experience_Navigation__,HTML/CSS: for creating the user interface and layout of the centralized site.,"JavaScript: for adding interactivity to the website, such as automatically updating the curated page when new content is added to the original sources.",API (Application Programming Interface): for connecting to the original content on the other sites and retrieving the necessary information.,React: a popular front-end library for building reusable UI components and managing state.,Node.js: a server-side runtime environment for building scalable and efficient web applications.,MongoDB: a NoSQL database for storing and retrieving data in a flexible and scalable manner.,GraphQL: a query language for APIs that allows for more efficient data retrieval and manipulation.,AWS (Amazon Web Services): a suite of cloud computing services that can be used for hosting and deploying the web application.,Heroku: a cloud platform for deploying and scaling web applications.,Git: a version control system for tracking changes to the codebase and collaborating with team members.,,,,,
23S_21_Training_Matr_ix__Phase_2__,"Ruby on Rails: The training matrix program is built using Ruby on Rails, so proficiency in this framework is essential. You'll need to know how to create routes, models, views, and controllers. ","SQL: As the program involves interacting with databases, understanding SQL is crucial. You should be familiar with creating, modifying, and querying databases using SQL. ","Mobile Devices: To improve the user interface and functionality on mobile devices, you'll need to have some experience with responsive design and mobile-specific development techniques. ","Additional SQL Tables: Depending on the specific requirements of the project, you may need to create additional SQL tables to store data related to scheduling, reminders, or other features. ","Report Generation: To generate reports based on the data stored in the database, you'll need to have some experience with report generation tools such as Rake or CoffeeScript. ","Scheduling and Reminders: To implement scheduling and reminder features, you'll need to use a scheduling library or tool such as Calendars gem or Pusher Chat API. ","Security Features: To integrate Microsoft Single Sign-On (SSO) security feature, you'll need to have some experience with OAuth authentication and authorization protocols. ","Deployment to SharePoint Environment: To deploy the program to a SharePoint environment, you'll need to have some experience with SharePoint development and deployment processes. ","Responsive Design: As the program will be accessed on various devices, having some experience with responsive design principles and techniques will help ensure a consistent user experience across different platforms. ","Testing and Debugging: Finally, you'll need to have some experience with testing and debugging techniques to ensure the program functions correctly and is free of errors. Overall, a solid understanding of web development frameworks like Ruby on Rails, experience with SQL and NoSQL databases, and familiarity with front-end development principles will be essential for completing this project successfully.",,,,,
23S_22_Evaluation_of_Coordination_Using_VR_Hand_Controllers__,Experience with Python programming language.  ,Familiarity with NumPy and Pandas libraries for data analysis.  ,"Understanding of basic concepts in computer vision such as image processing, object detection, and tracking.  ",Knowledge of machine learning algorithms and their applications.  ,Familiarity with VR development frameworks such as Unity or Unreal Engine.  ,"Experience with sensor integration and data acquisition from sensors such as accelerometers, gyroscopes, and magnetometers.  ",Understanding of signal processing techniques for filtering and feature extraction.  ,Familiarity with plotting and visualization tools such as Matplotlib and Seaborn.  ,Knowledge of statistics and statistical modeling techniques.  ,Experience with debugging and troubleshooting issues in code.,,,,,
23S_2_TA_Allocation_Algorithm_Implementation__,"Database management systems (DBMS): Developing a database-driven web application requires proficiency in managing databases using SQL or NoSQL databases such as MySQL, PostgreSQL, MongoDB, etc. ","Web development frameworks: Knowledge of popular web development frameworks like React, Angular, Vue.js, Django, Flask, Ruby on Rails, etc. is essential for creating a responsive and user-friendly web interface. ","Front-end development: Understanding how to build visually appealing and responsive user interfaces using HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js is crucial. ","Back-end development: Proficiency in server-side scripting languages like Python, Ruby, PHP, Java, etc., and familiarity with popular back-end frameworks like Node.js, Express.js, Laravel, Django, etc. are necessary for building the server-side logic and API endpoints. ","Security: With sensitive data involved, it's important to have knowledge of web application security best practices, including authentication and authorization, input validation, SSL/TLS encryption, and vulnerability assessment. ",Data modeling: Understanding how to design and implement a data model that represents the structure and relationships of the data in the database is vital for developing an effective and efficient application. ,"User experience (UX) design: Creating a user-friendly application requires knowledge of UX principles, including user research, wireframing, prototyping, and usability testing. ","Version control systems: Familiarity with version control tools like Git, SVN, or Mercurial is helpful for tracking changes, collaborating with team members, and maintaining a record of the application's development history. ","Testing and debugging: Knowledge of testing methodologies and tools, such as unit testing, integration testing, and debugging techniques, is essential for ensuring the application works correctly and is free of errors.",,,,,,
23S_3_Bottling_Change_Part_Wear_Measuring_Tool__Phase_2__,"5L bottles.  ### Assistant: To complete this project, you will need the following programming knowledge and skills: ","Python programming language: You will use Python to design and develop the tool's software. You will need to know how to write code, debug, and test it. ","Tkinter library: Tkinter is a Python library used for creating graphical user interfaces (GUIs). You will use Tkinter to create the tool's GUI, including buttons, menus, and other visual elements. ",Pillow library: Pillow is a Python library used for image processing. You will use Pillow to process images of the bottle caps and calculate their dimensions. ,NumPy library: NumPy is a Python library used for numerical computing. You will use NumPy to perform mathematical operations on the measurements taken by the tool. ,SciPy library: SciPy is a Python library used for scientific computing. You will use SciPy to perform statistical analysis on the data collected by the tool. ,"Data structures and algorithms: You will need to know how to use data structures such as lists, dictionaries, and arrays, as well as algorithms such as sorting, searching, and clustering. These will be useful for organizing and analyzing the data collected by the tool. ","Object-oriented programming: You will use object-oriented programming principles to design and implement the tool's software architecture. This will involve defining classes, methods, and functions, and organizing them into a cohesive program. ","Debugging and testing: You will need to know how to identify and fix errors in your code, as well as how to test the tool's functionality to ensure it works as intended. ","Version control: You will use version control systems such as Git to manage changes to the tool's codebase over time, collaborate with others, and track changes made to the tool. ","User interface design: You will need to know how to design a user-friendly interface for the tool, including layout, colors, fonts, and other visual elements. This will help ensure that users can easily understand how to use the tool and get accurate measurements.",,,,
23S_4_Planter_Revitalization_&_Modernization__App_,JavaScript,HTML,CSS,Responsive design,Maps API,Data storage,SQL queries,Node.js,Socket.io,Security,Lack of user testing,Poorly designed user interface,Performance issues,,
23S_5_Using_Sensors_to_Collect_Road_User_Data_,"Programming languages: The project requires proficiency in at least one programming language, preferably Python or C++.","Computer Vision: Understanding computer vision concepts such as image processing, object detection, and tracking is crucial for analyzing visual data. Familiarity with libraries like OpenCV, TensorFlow, or PyTorch will be helpful.","Machine Learning: To classify and count road users automatically, machine learning algorithms will be used. Knowledge of supervised learning techniques, such as classification and regression, is essential.","Data Structures and Algorithms: The project involves processing and analyzing large amounts of visual data. Therefore, understanding data structures like arrays, linked lists, and trees, as well as algorithms like sorting and searching, is important.","Image Processing: Image processing techniques like edge detection, thresholding, and feature extraction will be used to preprocess the visual data. Familiarity with libraries like NumPy, SciPy, or OpenCV will help.","Camera Calibration: To accurately detect and track objects in images, camera calibration is necessary. Knowledge of camera models, distortion correction, and intrinsic/extrinsic parameters will be useful.",Object Detection: Being able to detect and classify objects in images using deep learning models like YOLO or SSD is desirable.,Tracking: The ability to track objects across frames and maintain their associations is critical for accurate counting and classification. Familiarity with tracking algorithms like the Kalman filter or particle filter will be beneficial.,"Database Management: Depending on the specific implementation, the system may need to store and retrieve data from a database. Knowledge of SQL and database design principles will be helpful.","Sensors and Hardware Integration: Depending on the implementation, integrating sensors like cameras, GPS, or other IoT devices may be necessary. Understanding how to interface with these sensors and integrate them into the system will be important.",,,,,
23S_6_Farm_Robotics_Challenge__AutonomyCourse_Navigation__,Robotics Operating System (ROS),C++ Programming Language,Python Programming Language,JavaScript,GPS and IMU Integration,Motion Planning and Path Following,Perception and Object Recognition,,,,,,,,
"23S_7_Farm_Robotics_Challenge__Artificial_Intelligence_(Vision_and_Sensing,_Dataset_","Familiarity with ROS (Robot Operating System) library, which is used for developing control software for robots. ",Experience with OpenCV or similar libraries for image processing and computer vision tasks. ,Understanding of how to integrate cameras and GPS receivers into a robot system. ,Knowledge of how to measure performance in terms of data collection. ,Familiarity with software development using APIs provided by companies like Farm-ng.,,,,,,,,,,
23S_8_Virtual_Warehouse__,"Familiarity with C# programming language: You will need to have a good understanding of C#, including its syntax, data types, control structures, and object-oriented programming concepts.","Understanding of Bluetooth Low Energy (BLE) technology: BLE is the technology used for communication between the Bluetooth beacon and the AoA gateway. You will need to understand how BLE works, including the different roles of the beacon and gateway, and how to write code that can communicate with BLE devices.","Knowledge of AoA (Angle of Arrival) concepts: To accurately determine the location of a moving device using AoA, you will need to understand the principles of AoA, including how it is calculated and how it can be affected by various factors such as signal strength and multipath interference.","Familiarity with Windows 10/11 operating system: As the data collected by the AoA gateway will need to be processed and displayed on a PC running Windows 10/11, you will need to have some experience working with this operating system.",Understanding of JSON (JavaScript Object Notation) data format: JSON is a lightweight data interchange format that is commonly used to transmit data between web servers and web applications. You will need to understand how to work with JSON data in C#.,"Familiarity with Dusun's open-source code samples: Dusun provides open-source code samples for their BLE modules, which you will need to use in your project. You should be familiar with how to integrate these code samples into your own application.",Understanding of the 4x4 grid system: The AoA gateway will be measuring the distance between the beacon and the moving device using a 4x4 grid system. You will need to understand how this system works and how to calculate distances based on the measurements taken by the grid.,"Ability to write efficient and scalable code: As the AoA system will be tracking the location of multiple moving devices, you will need to write code that can efficiently handle large amounts of data and scale to accommodate more devices as needed.",,,,,,,
23S_9_EZFileTrail__,HTML,CSS,JavaScript,Front-end frameworks,Back-end technologies,Databases,APIs,Security,Version control,,,,,,
